Timestamp,version,question,text,Context1,Context2,Context3,Context4,Context5,Context6
2025-05-15 20:42:56,v1.1,What is the VANOS on the M2?,"The VANOS system on the BMW M2 is a variable valve timing technology used by BMW to improve engine efficiency and performance. This system adjusts the timing of the valves by altering the position of the camshafts, optimizing engine performance at different speeds and loads.",Interesting comparison of the engine management software between m4 and m2c,"a bit exposes.  The front engine harness needs to be changed because the diverter valve on the M2 uses a different connector.  The rear engine harness needs to be replaced or rereouted.  The M2 oil level sensor connector faces a different direction.  Otherwise a direct drop in.  Been using it on weekends without issue.  Stronger and smoother than the previous engine.  Built head and pure 750 coming soon



You could use a non M oil pan but then you lose the second scavange pump in the sump.  The","1. Transcript of the ""Driving stability control system"" (DSC) and ""Driving Dynamics Control"" sections of the M2 instructions manual (DSC OFF, TRACTION, SPORT+, SPORT, COMFORT, etc.):EDIT: the original section #1 was replaced by pages 114 to 118 of the M2 owner's manual 2016 (US version) (which was not yet electronically made available at the time of creating this thread).2. Excerpts from the M2 Press Kit (that you can findhere| M2 manuals sticky:here) about M Servotronic steering (EPS), Active M","off eBay. He installed it. And was getting a engine code. $500 later in replacing parts. Turns out that code was for a 3 series car that did not pertain to his car.  So he went to a shop and they flashed his DME with the correct Z3 flash.Why cant thus be dont with the m2? Flash the DME with a US DME. Im sure it can be done.



Have driven three different M2Cs here in Canada, never seen that message.

Mine does it, just during cold start fast idle phase., its CAT pre heating for 2 minute emiss","Hey all - I recently received and installed the Valvetronic Special Ops system for my OG '16 M2.  The difference between the regular Valvetronic system and the ""Special Ops"" is simply the gold anodized coating throughout the system and tips. I initially reached out intending to buy the normal system (and was unaware this one existed) but was told this was the only one in stock.  I was initially hesitant to run a full gold system but now I'm really glad I went with it.First impressions/quality:Af","Anyone know if Valve Control devices (VSC-2, BMS Can Flap) for the M4 work with the M2 Competition?Educated guess would be that they would since M2C/M4 share all the same components.VSC-2 for OG M2 and M4 are different, so the former shouldn't work.Anyone installed either VSC-2 / BMS Can Flap or other devices?

https://f87.bimmerpost.com/forums/sh...ighlight=VSC-2"
2025-05-15 20:44:41,v1.1,Is it possible to adjust the VANOS?,"No, the VANOS system itself is not adjustable by the user; it is automatically controlled by the engine's ECU (Electronic Control Unit) to optimize engine performance and efficiency. Any adjustments or modifications to the VANOS system would typically require specialized tools and knowledge, and are usually performed by professional technicians.","to control them manually

I notice a pretty big difference in drone/vibration with the valves closed although my car has a Remus with a catless downpipe - its definitely worth it to get a dedicated valve controller

Apparently I should've searched more thoroughly:https://f87.bimmerpost.com/forums/sh....php?t=1340967My car must be one of the ones that has the software bug that keeps the valve open, so a VSC-1 won't be able to actuate it; neither will any of the OBD solutions. There is a solution ","I'm facing a weird issue with the VSC-2 where it stops working after I drive the carSymptoms are as follows:- On cold engine and when starting car up, I'm able to open/close the valves through remote- After driving 5-10 minutes or more, remote valve open/closed functionality stops working. Valves don't move and stay in whatever position selected on car start up- When switching car off after a drive and turning it back on, valves only open/close on the left side (same place as where VSC-2 Box is)","types of ticking/clicking noises.1. VANOS related2. Camshaft relatedThe first one happens when owners unlock/lock the car with the engine off. The solenoid ticks for a period of time. There is a few threads on here where replacing the solenoid fixes the issue.The second is like the vid in this thread and is to do with incorrect torque specs on the exhaust camshaft from factory. The fix is to remove the bearing cap and loosen the exhaust camshaft, re torque and re time the engine. There is a few ","Since it seems this is now adjustable if using BM3, I'm curious if PTF or anyone else knows exactly what that adjustable burble slider in their software is doing? If its retarding timing on throttle lift, can we consider this a very minor anti-lag system? If its adjusting timing and still injecting fuel w/ spark during lift, I would think yes?

Igniting fuel on lift off appears help keep the manifold pressure, but the diverter valve already does just a much better job at it.DV has been a smart e","would be better for throttle response as its not diverting to atmosphere?

Is this a blow-off valve? While DV+ and OEM are both diverter valves.Difference being a blow-off valves vent to atmosphere and a diverter valve recirculates the vented air back into the system.Blow-off valves, in theory, will increase lag and make the car run richer during venting. Possibly requiring a custom tune.

Thank you for sharing





Was this a pure plug and play? OR did you need to some wiring modifications?



",", there is CG Precision VSC-1 that is plug-n-play and confirmed to work on our f87, but is ~ 200$. Theres the Macht Schnell EVC module, that hasn’t been confirmed for the f87 and is ~$500 and requires splicing into obd2. Theres the BMS can flap module which is ~$280 and plug-n-play, but unconfirmed for f87. If there are any i'm missing, or the aforementioned have been tried on the f87, please post!Overall, theres more gurble and pop in the low end when revs are coming down. I can’t tell any diff"
2025-05-15 20:52:13,v1.1,What oil should I use?,"For your M2 LCI with the N55 engine, considering that you do not track the car and plan to do oil changes every 5000 miles, it is advisable to stick with BMW approved oils that offer the best protection. Since you are in a normal European climate and do not prioritize fuel-saving oils, you can opt for either LL01 or LL04 oils, which are readily available and highly suitable in Europe due to the high-quality fuel standards there.

A good choice would be to continue using the BMW Twin Power Turbo 0W-30 as you have been, or you could consider other high-quality options such as Shell Helix or Ravenol VST 5W-40, which is LL01 approved and offers excellent performance at a reasonable price. These oils will provide the necessary protection and additives required for your engine, ensuring optimal performance and longevity.","repackaged Shell. Shell owns Pennzoil and they bought brand not Pennzoil know-how as it wasn't on par Shell.In EU you can safely run LL04 and that oil is actually recommended. If you do track vehicle, LL01 would be better choice.My choice would be Motul 5W30 X-Clean + (+is very important). It is exceptional oil. That oil will be ok in summer or winter.If you are out of warranty, you don't have to use LL04 or LL01 oils. Use MB229.51 or MB229.5 oils. Reason is that BMW updated LL approvals to incr","So from my research thus far this is a short list of what I would consider the best oils for our cars:1. Motul 300v 5w402. Motul x-cess/Xmax/sport 5w403. Total Quartz 9000 energy 5w404. Redline 5w305. LiquiMoly 5w40 Leichtlauf High TechThe order of these can be debated as can some of the weights.  What oil do you use?



Did the break-n on manufacturer's 5w30 oil. After that I changed it to Millers CFS 5w40 NT+. I sleep better now.

I'm a redline fan - 0W-30Although, no substitute for changing f","The car has many many miles beyond the break in oil.But I suppose the take away answer from these replies, is to take it in, let them do the oil change so that it goes into the vehicle history, then do what I did last time, and drain it and do my own service.

Well, noting that it's all fully synthetic oil, it doesn't noticeably degrade at 100F when designed to cope with over 200F. Obvs, leave it in an open container for a decade, and it won't be as good, but it isn't brake fluid.Plus, you want ","I'm looking to do an oil change for the start of track day season as is what I always do. In the past I've used 5W-30 , but I couldn't find a definite answer for recommended mixed used oils. I live in Vancouver, so pretty mild climate. Typically go to 3-4 track days over the summer, and the rest of the time is for pleasure drives.This is for OG M2.Thanks for your help.

Why wouldn't you use the recommended oil?

Absolutely. Stick to the factory oil thickness. 3-4 track days for a full synthetic ","Hi all,My M2 LCI (N55) now has around 8000 miles on it and I'm planning to change the oil soon. The car started life out with BMW Twin Power Turbo 0w30 and continued to do so, after its first break-in service.Fast forward to today: should I stick to this oil, or should I get a different one? The car never gets tracked, I plan to do oil changes each 5000 miles, the car is as good as stock (cold-air intake, boost- and chargepipe and turbo inlet pipe) and I live in a normal European climate.Further","hetics and have extremely low pour point and very healthy HTHS.Now reason why all oils are not same is that approvals set up minimum requirements. True, those are stringent requirements, but there are good and REALLY good oils and then REALLY good oils but not quite right for certain applications.So I will give you 3 examples:Castrol Edge 5W40 is mediocre representative of Edge family. NOTHING special, basically bare minimum Castrol is getting away with. Liqui Moly products are in this category."
2025-05-16 04:19:15,v1.1,What suspension components are recommend to upgrade especially for heavy track use?,"For heavy track use, consider upgrading the following suspension components:

1. **Coilovers**: Upgrading to a high-quality coilover system can significantly improve cornering and handling on the track. Look for ones that offer adjustability to fine-tune your setup based on track conditions and driving style.

2. **Camber Plates**: Installing camber plates will allow you to adjust the camber angle to improve tire contact with the road during high-speed cornering, enhancing grip and stability.

3. **Monoball Conversion for Thrust Arm**: This upgrade can increase steering feel and reduce the slop associated with OEM bushings, providing a more direct and responsive handling experience.

4. **Differential Lift Kits**: Particularly if you lower your car, a diff lift kit can help restore axle angles and improve the longevity of the axles, which is crucial for maintaining performance and durability under track conditions.

5. **Suspension Arms Upgrade**: Upgrading to stronger arms with better bushings can restore geometry, reduce slop, and add strength, which is beneficial for handling precision and reliability during intense track use.

These upgrades, combined with proper maintenance and setup, will help make your M2 more competitive and capable on the track.",You might chat with TCK to see what they recommend.  Just make sure that whoever does the install does so with the suspesion loaded at not at droop - see this quite a bit.  The thrust arm monoball conversion is a nice upgrade as it does provide a bit more feel and reduce some of the slop of the oem bushing.  I do like this one but can feel it a bit more on the street - not overpowering or anything but the feedback is increased.  I run the SPL version on my dual usage M2 and along with our damper,"After 2 years of tracking with stock 18 M2, am looking to go to the next level and start going down the rabbit hole of making my M2 more competitive in tracking with HPDE. Would like some advice of fellow Trackers of what would be the best Bang for Buck in upgrades. I love my stock M2, and am very impressed with performance, I just want to take it to the next level.

Camber (assuming you've already done this), tires, coils



Brake fluid, brakes, tires, camber plates, suspension.Probably in that","Hi, I'm specifically posting this here because I want folks with track experience. I currently have KW HAS on my '18 M2 but considering an upgrade to coilovers. The reasons are 1. It's not my daily car anymore. 2. I want better cornering and handling on track.My question is, is it worth the upgrade considering the cost? Would love to hear folks that have experience with both.Thanks!

What do you want to achieve? (ie better turn in, flatter cornering, changing the balance of the car)What is your ","The OEM suspension seems great for the track but leaves something to be desired on the everyday crap roads in NY. Has anyone toyed with the idea of changing out the springs for daily driver duty?

The springs are fine. The OEM dampers aren't the greatest and don't have the proper damping.You will find coilovers out there with higher spring rates than OE but still rides better.









Ok so what aftermarket setup do you recommend to improve ride quality on harsh roads while maintaining track pe","I am struggling with deciding what my next purchase should be for my car. I want to start tracking my car here in Italy, and I want to continue upgrading my car, but I need help deciding on the progression of upgrades, type of components, etc. I plan on mostly using the car for road use, but also want to track it every few weeks. I have been looking at AP brakes but I do not know what kit to buy. I have seen the JRZ RS Pro suspension and I am not sure what spring weights I should buy whether it ","Hi guys, what suspension components would you consider replacing at 60k miles?My OG M2 isn't feeling as planted as it used to. A bit unstable at speed.Alignment has been checked and is fine according to the garage who checked it. And tyres are fresh.I updated the steering, DSC, Diff and DCT software a while ago which vastly improved the feel of the car.So I am thinking that some suspension components may need replacing. Car has been driven hard since I purchased it from new!

All the rubber bits"
2025-05-16 04:20:15,v1.1,What are some recommended camber plates?,"For your BMW M2, here are some recommended camber plates based on user experiences from the Bimmerpost F87 M2 forums:

1. **Ground Control Camber Plates**: Users have reported good experiences with these, noting better tire wear and the ability to achieve around -2.8 degrees of camber. They are compatible with stock suspension, and while some users mention noise, others have not found it to be a significant issue.

2. **Vorshlag Camber Plates**: These are another popular choice among M2 owners. They are noted for their quality and the ability to provide significant camber adjustments. Users have mentioned that Vorshlag's instructions may recommend using impact tools for installation, which can be a point of confusion but generally leads to successful setup.

3. **Millway Camber Plates**: These are well-regarded for street use with stock dampers, offering good adjustability and minimal noise or complaints. They are a great upgrade if you're looking for a balance between performance and comfort.

Each of these options has been tested and reviewed by fellow M2 owners on the forums, providing real-world feedback on their performance and suitability for both track and street use.","Does anyone know what the OEM camber specs are?  And how much more negative camber I can add with the OEM set up.

Not adjustable in the front stock



Get some GC camber plates","What's your recommended Camber settings for DD and Track? Have just installed suspension lowered 10mm with Camber Plates, and getting an alignment. Would like Camber for street and setting for track, marked on plates. Also if you could include rear camber, that would be helpful.



I run 2.5F and 2R. Good compromise.







Mine goes from:-2.5 / 0 toe street settingto-3.4 / -0.16* toe maxed at track(-2.0 / +0.19* total toe rear)Vorshlag plates, swift M4 springsI ran my first session at 2.5 on ch","negative camber on the front so the factory strut tops will serve you well. However if tracking (which I do) more negative camber is desirable and thus camber plates become necessary.



I have M performance coilovers with about -1.5 camber on front and set pretty low, I'm looking at camber plates because Im going to destroy my MP4S without the plates on the track

My cars front camberstock -1.5deglowered (MPerf c/overs) -1.8deglowered as above + oem camber correction hubs -2.25deg

I ran lowere","Would what you suggested be the max before poking out?





Thanks for the insights.





[QUOTE=M3SQRD;32060385]You dont absolutely need camber plates.  However, if you want equal left & right camber values and would like to run street performance camber settings (~-2.5 deg) then yes youll need camber plates.  Camber doesnt cause rapid tire wear; its incorrect toe that can destroy a tire in 2-3k miles.Thanks for the reply. Im really just trying to wrap my head around what is required to en","I can't stand tracking this car anymore with the current Camber settings, anyone running Camber plates on Stock suspension? what camber plate set up did you go with?

Maybe look at fitting the BMW camber adjustment hubs for half a degree more? What problems are you hoping to address?

Word of warning: Camber plates don't work with (some) lowering springs.However they should work just fine with stock springs. I'd recommend ground control.

I have Ground Control plates with stock suspension. There","Hi folks. Im looking at getting a set of Ohlins R/T coilovers and have been chatting with a few shops to get their recommendations on camber plates.Ive received about equal responses in favor and against using them.Ill be using the car for spirited driving and some road trips throughout the year, no track use (at least for the foreseeable future). The wheels will stay as stock 437m until the tires wear out, then upgrade to some wider wheels.Im super torn on whether to get camber plates or no"
2025-05-16 04:21:03,v1.1,What is a B Street setup?,"For a competitive B Street setup on a BMW M2 Competition, you might consider the following modifications based on recommendations from the Bimmerpost F87 M2 forums:

1. **Tires**: Opt for a staggered setup with 265/285 RE-71Rs on stock sized Forgelines. Once those tires wear out, switching to 255/275 A052s could be a good move, as they are well-suited for camber-limited stock cars.

2. **Suspension**: While you already have an H&R front sway bar, adding adjustable components like a Whiteline adjustable front bar can further enhance handling. Consider also exploring options like the MCS Single Adjustable Damper Set for more precise control and adjustability.

3. **Wheels**: Running a square setup with 275/18 tires has been a popular choice among enthusiasts for maintaining balance and grip.

4. **Brakes**: If you are dealing with limitations due to the 2NH brakes and can't run 18"" wheels, sticking with 19"" wheels is necessary. For brake pads, using a combination like Ferodo DS2500 on the street and DS1.11 on the track can offer a good balance between street and track use without requiring bed-in when switching pads.

These components are tailored to enhance the performance of the M2 Competition in B Street class autocross events, focusing on maintaining a balance between competitive edge and compliance with class regulations.","Hi All,Just wondering for some B-street setup for BMW M2 Competition. Currently have FSB from H&R and thinking of Bilstein B6. but what are my options to make it bit more competitive? Thanks,

This is the thread you seek.https://f87.bimmerpost.com/forums/sh...419810&page=18","Thoughts on overall street set upAny track? If so, what adjustments did you make.ThanksB","There is a long running thread specifically on SCCA B Street prepared M2 here:https://f87.bimmerpost.com/forums/sh....php?t=1419810I think the M2 MIGHT be eligible for Street Touring classes for 2021 which accommodate mods like coilovers... but after going down that road I'm not willing to go back. Plenty of work do be done in the driver-mod area for me haha



For my 2017 M2 I choose to stay B-stock and used 275/35-18's as a square set up.  I also used a Dinan front sway bar.  This was a good s","street.  I have been very happy with the changes.  The rear is divorced.  I am not sure what they ended up going with on the rebound settings, but I will find that out.  Running a 275/18 square setup, and have had Yoko A052 (265) and Toyo R888R (275) so far.  I have a set of RE71R's that I purchased on closeout in waiting for next year.  I have only been on Portland Int'l Raceway, which is pretty flat and Oregon Raceway Park, which is like a roller coaster.  I only have the stock setup to compar","Anyone here have a good configuration for only street use to the Kw V3 ??How many clicks for bump?How many clicks for rebound??Thanks for all!!

Bump!!



I have the KW Clubsport 3 ways and the initial settings seem fine for the street. Maybe I'll play with them one day.","are called ""Special Brakes"", a little company next to the Nurburgring. The pad he was running:front : SB12rear : SB11SB11 is the softer compound. They made zero noise on the street.http://www.special-brakes.de/

Good street/track brake pad is not really possible.  Two very different kinds of demands for braking so at best you end up with fairly substantial compromises.  Even though its a little bit of a pain to do it is best to use a dedicated track pad and a dedicated street pad and set aside a"
2025-05-16 04:25:19,v1.1,What is the stock ride height for the M2?,"The stock ride height for the F87 M2, measured from the center of the wheel to the top of the wheel arch, is as follows:

- Front wheels: 612mm for the ""series"" and 622mm for the ""bad-road package.""
- Rear wheels: 615mm for both ""series"" and ""bad-road package.""","Is the ride height identical or will the M2C be lower? Thanks!











https://f87.bimmerpost.com/forums/sh....php?t=1500832","What's the standard hight of the M2C ? I just installed kW V3 but i didn't mesure the hight before

Mine at stock height measured at 620mm front, 623mm rear.Measured from the bottom of the wheel to the fender.

Remember that the passenger rear is always a little higher by 3-5mm, so stock measurements need to be taken from the driver's side.Also, that includes fully lowered, my MPS all the way down in the rear is still 3mm higher on the passenger rear, so it's a body thing, not a suspension thing",".Ride height wise, rear end is lowered to maximum (by about 20mm) and front end adjusted to match the rear. Front can go maybe 10mm further lower, but I prefer a front-rear even setup as is.As it is, it's still noticeably firmer than stock and is about the same firm as KW HAS + OEM damper (I have a close M2 friend using KW HAS, not to be confused with KW coilover, the MP counterpart).Given that Shanghai has better road than most of other top cities around the world, the M2 MP coilover is at the ","Could you guys provide some front and rear measurements? It would be great to see a couple responses for confirmation.I believe the correct way to do this is center of the wheel to the top of the wheel arch. Also, from floor to top of the wheel arch on OE tires would be great to know, as well.I forgot to measure this before I changed my suspension.Thank you!





AFAIK, F87 M2 OEM stock ride height (OEM suspension, wheels, tires, tire-pressure and of course without shipping blocks):front wheels:","preload to not lose any travel.I have found the best method to measure height and make adjustment is the oem one. See picture attached, this helped me because my car was not stock and had Dinan HAS already installed and I had no idea of my stock ride height. Here is also the OEM specs:AFAIK, F87 M2 OEM stock ride height (OEM suspension, wheels, tires, tire-pressure and of course without shipping blocks):front wheels: 612mm (""series"") and 622mm (""bad-road package"") (see here);rear wheels: 615mm (","are identical to other European and American vehicles of the same year (2019).M2C89, your car at 587 mm all around unloaded sits too low. I'd suggest you back off a little. Lowered to 590 mm front and 595 mm rear you are already likely to rub when loaded (passengers or luggage) and pushing the car hard. With just one person in the car (the driver) the car will sag at least another 3-4 mm, add passengers/luggage and it could easily be 10 mm lower than what you have now.There is another measuremen"
2025-05-15 21:28:43,v1.1,What are some recommendations for upgrading the suspension control arms and bushings for track use?,"For upgrading the suspension control arms and bushings for track use on your M2, here are some recommendations based on the forum discussions:

1. **Control Arms**: Upgrading to aftermarket control arms like SPL can restore geometry, add strength, and reduce the slop of the OEM bushings. However, consider that these might introduce more noise, vibration, and harshness (NVH) into the ride. They are generally recommended if you are committed to frequent track use.

2. **Bushings**: Replacing the front rubber bushing on the thrust arm with a monoball conversion can provide more precise feedback and reduce slop. This upgrade is particularly beneficial for track-oriented handling as it enhances the feel and response of the suspension system.

3. **Camber Plates**: While you mentioned camber plates primarily, it's worth noting that they allow for regular and significant adjustments to camber settings, which can be beneficial for both street and track settings. They can be easily adjusted to switch between settings for different uses.

4. **Tension Arms**: If you're looking to further refine your setup, consider upgrading the tension arms. These can help adjust caster and further fine-tune the handling characteristics of your M2, especially in reducing tire rub and allowing more aggressive camber settings without interference.

5. **Additional Considerations**: Depending on how much you lower the car and the changes in suspension geometry, you might also need to look into sway bar end links and possibly other alignment components to ensure everything works harmoniously.

These upgrades can significantly improve the handling characteristics of your M2 on the track while maintaining reasonable street usability. Remember to balance these upgrades with considerations for ride quality and component wear, especially if the vehicle is also used daily on public roads.","Hi all, I'm fairly new in the world of suspensions and would like to know what the benefits are of say getting an aftermarket control arm and tie rods such as SPL? With a camber plate, I can essentially adjust the camber to be very aggressive already and toe adjustment doesn't seem to be an issue with stock tie rods.I've heard about lighter spring weight which would potentially make the tires make better contact with the ground, but are there other benefits? I take my car out to track once in a ",", as I get more experience driving the car to the extreme, I may want to upgrade my suspension.For futureproofing, can you guys recommend a few budget coilovers that are good for street and track for an amateur like myself? I've heard there's quite a few issues with Ohlin R+Ts?Also, I've heard that not all aftermarket coilovers are compatible with camber plates. How should I pick one?Misc: control arms, endlinks, swaybars, etc...What stage of suspension upgrade do these fall under? I suspect I d",You might chat with TCK to see what they recommend.  Just make sure that whoever does the install does so with the suspesion loaded at not at droop - see this quite a bit.  The thrust arm monoball conversion is a nice upgrade as it does provide a bit more feel and reduce some of the slop of the oem bushing.  I do like this one but can feel it a bit more on the street - not overpowering or anything but the feedback is increased.  I run the SPL version on my dual usage M2 and along with our damper,"Thinking of replacing my Tension Rods. Anyone have any feedback of Pros and Cons of doing this. Is it worth the upgrade for the Tracking ability of the M2? Have new suspension coming and thinking this is a good time to add.





Do you mean the Tension Strut, or? I'm fairly certain you can get monorail versions of the Tension StrutsFront: Item 10https://www.realoem.com/bmw/enUS/sho...diagId=31_1123Rear:https://www.realoem.com/bmw/enUS/sho...diagId=33_1818Edit:This thread might be useful.https://",can obtain excellent performance without sacrificing street manners.  My M2 with only our single adjustable custom spec Nitron setup being the only suspension upgrade is already capable of eclipsing max lat g's for fuel & oil on a stock S55 on stickies.  Single adjustables are a very easy plug & play solution here.  You can also dial in a proper alignment at this point.Another option would be looking at arms and/or bushings.  I fairly easy swap is to go with monoballs on the caster arms.  Can al,"Hi all - I have an OG M2 and have started to track it for half-day lapping sessions after attending a HPDE. I'll continue to attend HPDEs (driver mod) and lapping sessions about once a month (Pacific Raceways and the Ridge here in WA). The car is completely stock, but I'm in the process of buying some TC Kline COs and camber plates to better set up the car for dual use (street and track).I know the added negative camber on the front will help with turn-in and general track driving, but I'm wonde"
2025-05-15 21:30:00,v1.1,Are Fall Line components good suspension components for the M2?,"Yes, Fall Line Motorsports offers a variety of high-quality suspension components that are suitable for the BMW M2, as well as the M3 and M4 models. These components include:

- Fall Line Motorsports F8X M2/M3/M4 Toe Link Kit - Race
- Fall Line Motorsports F8X M2/M3/M4 Rear Camber Shim Kit
- Fall Line Motorsports F8X M2/M3/M4 Front Mono Ball Conversion Kit
- Fall Line Motorsports F8X M2/M3/M4 Rear Upper Control Arm Bearing Kit
- Fall Line Motorsports F8X M2/M3/M4 Toe Link Kit - Standard
- Fall Line Motorsports F8X M2/M3/M4 Front Sway Bar End Link Kit
- Fall Line Motorsports F8X M2/M3/M4 Rear Sway Bar End Link Kit

These components are designed to improve the handling and stability of the vehicle, making them a good choice for both street driving and track use.",Fall Line have many suspension parts...Fall Line Motorsports F8X M2/M3/M4 Toe Link Kit - RaceFall Line Motorsports F8X M2/M3/M4 Rear Camber Shim KitFall Line Motorsports F8X M2/M3/M4 Front Mono Ball Conversion KitFall Line Motorsports F8X M2/M3/M4 Rear Upper Control Arm Bearing KitFall Line Motorsports F8X M2/M3/M4 Toe Link Kit - StandardFall Line Motorsports F8X M2/M3/M4 Front Sway Bar End Link KitFall Line Motorsports F8X M2/M3/M4 Rear Sway Bar End Link Kit All fitsRogue Engineering have these,"I've been looking into some suspension components and it seems like the M2 shares a lot of its parts with the M3 / M4.Is it all the suspension or just the rear that is the same?

Have a look on realoem.com

Depends on what you are looking at. For example KW makes a spring kit that fits both the M2, M3 and M4 but the V3 coilover kit has a separate SKU between the F87 and F80 / F82","Would like some suggestions on suspension upgrades for the M2.The major issue I would like resolved is when going over bumps and heavy on the throttle the wheel hop. I'm not sure if I'm describing this right or if it's even fixable. Any thoughts?



After a ton of research, I'll be going with the TC Kline single-adjustable front/double-adjustable rear coilover setup.  I'll be ordering it late February.He's a suspension *god* with BMW's, and this is the setup he runs on his own M2C.https://www.tc",can obtain excellent performance without sacrificing street manners.  My M2 with only our single adjustable custom spec Nitron setup being the only suspension upgrade is already capable of eclipsing max lat g's for fuel & oil on a stock S55 on stickies.  Single adjustables are a very easy plug & play solution here.  You can also dial in a proper alignment at this point.Another option would be looking at arms and/or bushings.  I fairly easy swap is to go with monoballs on the caster arms.  Can al,Has anyone heard if these springs are in the works for the M2?,"4 Front Sway Bar End Link KitFall Line Motorsports F8X M2/M3/M4 Rear Sway Bar End Link KitGoodridge S.S. brake lines first...

I say none to start unless you want lots of noise down the road.



OEM pieces perform just fine. If you can tolerate the noisy links down the road, get them. You will benefit so much more from a set of camber plates, tires or quality coilovers.SS lines is a good upgrade for track duty for abrasion resistance.



Do M2 use the same sway bar end links as M3/M4?"
2025-05-15 21:33:51,v1.1,Are Fall Line components good suspension components for the M2?,"Yes, Fall Line components are good suspension components for the M2. They offer a range of products specifically designed for the F8X platform, which includes the M2, M3, and M4, ensuring compatibility and performance enhancement tailored to these models.",Fall Line have many suspension parts...Fall Line Motorsports F8X M2/M3/M4 Toe Link Kit - RaceFall Line Motorsports F8X M2/M3/M4 Rear Camber Shim KitFall Line Motorsports F8X M2/M3/M4 Front Mono Ball Conversion KitFall Line Motorsports F8X M2/M3/M4 Rear Upper Control Arm Bearing KitFall Line Motorsports F8X M2/M3/M4 Toe Link Kit - StandardFall Line Motorsports F8X M2/M3/M4 Front Sway Bar End Link KitFall Line Motorsports F8X M2/M3/M4 Rear Sway Bar End Link Kit All fitsRogue Engineering have these,"I've been looking into some suspension components and it seems like the M2 shares a lot of its parts with the M3 / M4.Is it all the suspension or just the rear that is the same?

Have a look on realoem.com

Depends on what you are looking at. For example KW makes a spring kit that fits both the M2, M3 and M4 but the V3 coilover kit has a separate SKU between the F87 and F80 / F82","Would like some suggestions on suspension upgrades for the M2.The major issue I would like resolved is when going over bumps and heavy on the throttle the wheel hop. I'm not sure if I'm describing this right or if it's even fixable. Any thoughts?



After a ton of research, I'll be going with the TC Kline single-adjustable front/double-adjustable rear coilover setup.  I'll be ordering it late February.He's a suspension *god* with BMW's, and this is the setup he runs on his own M2C.https://www.tc",can obtain excellent performance without sacrificing street manners.  My M2 with only our single adjustable custom spec Nitron setup being the only suspension upgrade is already capable of eclipsing max lat g's for fuel & oil on a stock S55 on stickies.  Single adjustables are a very easy plug & play solution here.  You can also dial in a proper alignment at this point.Another option would be looking at arms and/or bushings.  I fairly easy swap is to go with monoballs on the caster arms.  Can al,Has anyone heard if these springs are in the works for the M2?,"4 Front Sway Bar End Link KitFall Line Motorsports F8X M2/M3/M4 Rear Sway Bar End Link KitGoodridge S.S. brake lines first...

I say none to start unless you want lots of noise down the road.



OEM pieces perform just fine. If you can tolerate the noisy links down the road, get them. You will benefit so much more from a set of camber plates, tires or quality coilovers.SS lines is a good upgrade for track duty for abrasion resistance.



Do M2 use the same sway bar end links as M3/M4?"
